"filename", "language", "pip requirements", "comment", "blank", "total"
"/home/si-hj/Desktop/medsegnet/requirements.txt", "pip requirements", 9, 0, 1, 10
"/home/si-hj/Desktop/medsegnet/wandb/latest-run/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250401_234407-ecn55p0l/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_000312-p3wrlrg0/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_010606-ohsxv9rv/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_012610-9fyejzgx/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_013119-dimbsnkm/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_013147-rpnj991d/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_013248-zcusxf00/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_013608-uhn44fo8/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_013707-p3i307r1/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_013748-ck8086on/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_013819-k77q8kn9/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_015616-ral07ygw/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_015714-fd739gr2/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_020603-txr1q6zv/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_020859-1hy2b76a/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_021258-jy74j6no/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_021940-gp5zovvb/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_022222-zb6r6wsz/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_023021-16dcb7q3/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_023123-kxn3nh3n/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_023654-ojaaq6b5/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_024642-mdibuq2r/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_025030-92i5kpx4/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_025349-640fsuxa/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_030109-ro9nayrn/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_030224-kaugwurm/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_030303-putj4609/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_030616-nhd9307z/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_030812-eyd4ntot/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_031113-t036sinn/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_091258-q89z29f6/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_100728-nt0fs2n9/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"/home/si-hj/Desktop/medsegnet/wandb/run-20250402_102047-yzges25b/files/requirements.txt", "pip requirements", 238, 0, 1, 239
"Total", "-", 8101, 0, 35, 8136